,year,prizename,nominationstatement,films,charactor,songtitle,publicnote,Ccodetyp,win
0,1927,ACTOR,Richard Barthelmess,The Noose The Patent Leather Kid,"{""Nickie Elkins""};",,,actingorsimilar,0
1,1927,ACTOR,Emil Jannings,The Last Command The Way of All Flesh,"{""General Dolgorucki [Grand Duke Sergius Alexander]""};",,,actingorsimilar,1
2,1927,ACTRESS,Louise Dresser,A Ship Comes In,"{""Mrs. Pleznik""}",,,actingorsimilar,0
3,1927,ACTRESS,Janet Gaynor,7th Heaven Street Angel Sunrise,"{""Diane""};",,,actingorsimilar,1
4,1927,ACTRESS,Gloria Swanson,Sadie Thompson,"{""Sadie Thompson""}",,,actingorsimilar,0
5,1927,ART DIRECTION,Rochus Gliese,Sunrise,,,,actingorsimilar,0
6,1927,ART DIRECTION,William Cameron Menzies,The Dove; Tempest,,,,actingorsimilar,1
7,1927,ART DIRECTION,Harry Oliver,7th Heaven,,,,actingorsimilar,0
8,1927,CINEMATOGRAPHY,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson,,,,actingorsimilar,0
9,1927,CINEMATOGRAPHY,Charles Rosher,Sunrise,,,"[NOTE: For this awards year, awards were presented in the name of the individual and could honor work on one or more films.  Charles Rosher and Karl Struss were both honored for cinematography on this film.  It is considered a single nomination for the film.]",actingorsimilar,1
10,1927,CINEMATOGRAPHY,Karl Struss,Sunrise,,,"[NOTE: For this awards year, awards were presented in the name of the individual and could honor work on one or more films.  Charles Rosher and Karl Struss were both honored for cinematography on this film.  It is considered a single nomination for the film.]",actingorsimilar,1
11,1927,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,,,,actingorsimilar,1
12,1927,DIRECTING (Comedy Picture),Ted Wilde,Speedy,,,,actingorsimilar,0
13,1927,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,,,,actingorsimilar,1
14,1927,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,,,,actingorsimilar,0
15,1927,DIRECTING (Dramatic Picture),King Vidor,The Crowd,,,,actingorsimilar,0
16,1927,ENGINEERING EFFECTS,Ralph Hammeras,,,,[NOTE: This nomination was not associated with any specific film title.],actingorsimilar,0
17,1927,ENGINEERING EFFECTS,Roy Pomeroy,Wings,,,[NOTE: This nomination was not associated with any specific film title.],actingorsimilar,1
18,1927,ENGINEERING EFFECTS,Nugent Slaughter,Wings,,,"[NOTE: Though no specific titles were indicated during the presentation on May 16, 1929, or in the official results from the Central Board of Judges for this honorable mention, Academy records indicate that Mr. Slaughter was most often mentioned in connection with The Jazz Singer.]",actingorsimilar,0
19,1927,OUTSTANDING PICTURE,The Caddo Company,The Racket,,,,actingorsimilar,0
20,1927,OUTSTANDING PICTURE,Fox,7th Heaven,,,,actingorsimilar,0
21,1927,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,,,,actingorsimilar,1
22,1927,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,,,,actingorsimilar,1
23,1927,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,,,,actingorsimilar,0
24,1927,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,,,,actingorsimilar,0
25,1927,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,,,,actingorsimilar,0
